Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Participation,Internet_Access,Extracurricular,Final_Result
5.5,89.1,89,9,7.2,8,Yes,Yes,Pass
4.2,100,81.9,6,7.4,4,Yes,No,Pass
5.8,61.2,68.9,6,7.6,1,No,No,Fail
7.5,84.8,58.3,5,8.1,7,No,No,Pass
4,70.2,78.5,3,7.3,1,Yes,Yes,Pass
4,72.2,73.9,9,6.5,4,Yes,Yes,Pass
7.7,70.9,81.4,8,7.6,8,Yes,Yes,Pass
6,67.6,77.5,5,9.1,2,No,No,Fail
3.6,78.6,83.7,8,6.6,6,Yes,No,Pass
5.6,68,60,10,5.6,6,Yes,No,Pass
3.6,81.2,87.8,7,8.1,9,Yes,Yes,Pass
3.6,77.4,71,6,6.7,5,Yes,No,Fail
5,75.1,99.1,8,4.2,10,Yes,No,Pass
0.7,67.1,57.7,4,7.8,4,Yes,Yes,Fail
1.1,71.1,94,8,6.2,5,Yes,No,Fail
3.4,87.1,71,7,6.7,10,Yes,No,Pass
2.5,84,58.2,9,7.2,5,Yes,No,Pass
5.1,66.3,60.7,6,7,8,Yes,No,Pass
2.7,79.2,63.2,10,7.7,10,Yes,Yes,Pass
1.7,87,74.4,5,6.3,8,Yes,Yes,Fail
7.4,58,75.8,10,7.4,2,Yes,No,Pass
4,84.5,59.4,7,6.5,7,Yes,Yes,Pass
4.6,70,67.6,6,7.7,8,Yes,No,Fail
1.7,84.8,100,8,7.5,6,Yes,No,Pass
3.4,68.8,93.9,9,5.7,5,Yes,No,Pass
4.7,56.3,74.5,3,8.1,9,Yes,No,Fail
2.2,58.5,68.6,9,6.2,3,Yes,Yes,Fail
5.3,78.6,69.8,3,7.8,10,Yes,Yes,Pass
3.3,81.1,77.2,4,7.2,4,Yes,Yes,Fail
3.9,67.1,52.7,9,9,9,Yes,Yes,Pass
3.3,85.7,64.1,6,6.5,6,Yes,Yes,Fail
8.2,58.1,43,3,6.4,8,Yes,Yes,Pass
4.5,77.2,74,5,6.8,7,Yes,No,Pass
2.4,63.5,77.7,6,6.4,2,Yes,No,Fail
6.1,70.2,60.8,5,7.8,3,Yes,Yes,Fail
2.1,78.6,91.6,9,4.9,1,Yes,Yes,Pass
4.9,67.7,49.6,5,5.5,9,No,No,Fail
0.6,73.4,46,3,5.5,7,Yes,Yes,Fail
1.8,90.1,71.4,6,7.9,1,Yes,Yes,Fail
4.9,71.1,83.7,8,8.9,3,Yes,Yes,Pass
6,88,93.3,7,6.7,4,Yes,No,Pass
4.8,64.4,61.1,3,6.6,4,Yes,Yes,Fail
4.3,84.4,84.2,3,6.9,5,Yes,No,Pass
3.9,95.3,67.4,8,8.2,3,Yes,Yes,Pass
1.5,48.3,65.4,6,5.7,3,Yes,No,Fail
3.1,68.4,81.3,6,7.1,1,Yes,Yes,Fail
3.6,84.9,77.8,10,8,7,Yes,No,Pass
6.6,75.6,44.4,9,7.4,10,Yes,No,Fail
5.2,82.5,90.1,5,7,1,No,No,Pass
1,70.8,88.7,9,8,2,Yes,No,Fail
5.1,79,58.6,8,4,4,Yes,No,Fail
3.7,76.1,73.9,9,7.6,4,Yes,No,Fail
3.1,92,75.4,8,6,5,Yes,No,Fail
5.7,81.1,71.9,6,4.6,2,Yes,No,Pass
6.6,82.1,59.7,5,7.4,4,Yes,Yes,Fail
6.4,73.1,57.9,9,8.4,1,Yes,Yes,Pass
2.8,72.1,67.6,3,6.6,2,Yes,Yes,Fail
3.9,72.8,85.6,4,7.9,1,Yes,No,Fail
